cluster,row_count,row_count_proportion,IRON_FEED_PERC_mean_historical_actuals,SILICA_FEED_PERC_mean_historical_actuals,STARCH_FLOW_mean_historical_actuals,AMINA_FLOW_mean_historical_actuals,ORE_PULP_FLOW_mean_historical_actuals,ORE_PULP_PH_mean_historical_actuals,ORE_PULP_DENSITY_mean_historical_actuals,FLOTATION_COLUMN_01_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_02_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_03_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_04_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_05_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_06_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_07_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_01_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_02_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_03_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_04_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_05_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_06_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_07_LEVEL_mean_historical_actuals,IRON_CONCENTRATE_PERC_mean_historical_actuals,SILICA_CONCENTRATE_PERC_mean_historical_actuals
27,93,0.022833292413454456,54.57285394265233,16.55703405017921,1992.947106357709,497.0502074688379,399.74939279613375,9.617004075630513,1.723522620873379,258.02726548650713,258.80114851190825,259.3278961096224,299.45761482667626,299.967747144876,260.86986473143173,262.1401080806949,642.5134765270703,642.0829831983197,648.9108213208979,419.67168549194923,430.8546954238495,442.85145794166687,437.30330540355465,64.7946706253343,2.667180666791382
28,51,0.012521482936410509,57.6734477124183,11.859084967320262,2561.942073798188,475.5756442741283,399.171211995256,9.707934503524196,1.6535155192472395,296.02146509783944,283.8374791173998,296.54909499222094,299.9330267371818,299.5103506198966,306.46785966641,303.52739857769336,454.92664840640333,493.8211962795254,468.91015646446255,405.15594267924985,409.07913577339014,421.6980373536417,408.8211143221875,65.0283455882353,2.086664640784294
29,50,0.012275963663147557,51.67083333333333,20.883391666666668,3290.198423945582,557.1285855525967,399.75398570105176,9.921520079820471,1.6958357112010156,299.9249499788806,296.74146368799416,299.5141056110071,299.8937245640216,299.69219219104025,311.2192416042187,307.34354604018176,467.25888378994637,500.89225370493864,477.1156067310019,418.2431522220249,413.5096926411744,409.71411510840545,414.2756752031021,64.91053005212476,2.509131128514156
30,35,0.00859317456420329,54.43885714285714,16.75225,1815.68017509296,463.575215035878,399.5971125530692,9.592918183857071,1.6554886331131533,260.3369130931012,260.3701824057841,261.2082407641876,299.83986386217555,300.44481272130554,266.18502456349205,267.0433937962963,625.6707936273831,620.3731078058632,633.1929926002471,399.4287322515278,415.8355215254927,424.31702565686885,406.3660252351053,64.64082278318224,2.9186372005808443
31,69,0.016940829855143627,54.96057971014493,16.579257246376812,3530.5249422576685,484.15800609879744,399.74600285875005,9.96039161611126,1.7000536653843468,278.0556929641806,278.083683527241,276.69136899654353,299.8497592375242,299.9705162947465,291.2750449258588,291.5774698151503,478.53249278939967,474.0557785786479,478.6865956997415,443.0147079788415,438.5966374923995,434.18030809115737,427.19970654022,65.36682669082126,2.1027018597695615
32,73,0.017922906948195434,55.699035388127854,15.266352739726026,2063.8060267008163,493.579350498358,399.9130210368445,9.600463679493279,1.7067857461766174,262.42437180036194,261.8080647834493,263.48581097771296,299.61995917350316,300.0329777236633,269.3131737041707,269.81820704908677,632.2876598469035,627.4122281477968,657.180680031553,406.23648475348455,412.18576634100447,421.19229941942694,409.88501638718253,64.93787120784916,2.661604016160848
33,55,0.013503560029462312,58.49132575757576,12.000939393939394,2845.0108377732276,470.2569473883123,399.8389489787436,9.84771984808742,1.6559421165073316,290.16793284062373,284.8770835975492,293.0266780956027,299.94202401827755,299.7103558341614,300.5616293330858,301.3294333091176,503.76950439014666,506.1032996965721,519.878395806911,438.42999695249136,442.49848581022474,442.1369909523947,440.2842265353089,65.26641233222641,1.9827931481689192
34,30,0.007365578197888534,51.93805555555556,20.511083333333332,3353.821620492863,559.7934164236943,400.22270735842994,9.87480496981442,1.7005087509331882,299.2388119251543,299.72843705246913,299.9212945679012,299.99048305716065,299.46947150439934,316.4103114583333,314.76440031635804,474.3744355287735,497.4051382103218,484.06589297353514,420.02948342967585,415.422510081414,415.34619663162067,416.15930092489253,64.71698722092685,2.6733709161658203
35,19,0.004664866191996072,56.51618421052632,13.65125,3978.202593451358,434.7686761836975,399.97685376628124,9.888882099415206,1.7242443679337232,257.90896107456143,253.11025179093568,257.9442349780702,299.4156707273323,300.48436064565067,258.2395762061404,253.5751918006823,535.4035703275154,512.2873160974128,535.9403138462476,502.0278993691722,515.5362434398572,519.5514143679767,515.9183363928485,65.17263157894736,2.7493201754385965
36,67,0.016449791308617727,58.441113184079605,12.558681592039802,3320.3816004501386,508.65002974766924,399.66438297729354,9.886949855151327,1.7000487339400578,268.6190677687949,269.38046133913764,269.35162086097296,299.87212556845515,299.8699220636781,298.95711401844943,297.93562089667404,468.0712838387865,473.42014157437603,483.47184544075554,389.25168941979916,389.2664660209084,397.0264777973827,390.77117106630914,64.8272148214751,2.8214693618381914
